city_key,city,country,short_description,latitude,longitude,avg_temp_monthly,ideal_durations,budget_level,culture,adventure,nature,beaches,nightlife,cuisine,wellness,urban,seclusion,Category,Approximate Annual Tourists,Famous Foods,Best Time to Visit,Cost of Living,Safety,Cultural Significance,Description,Cost_index,"Meal, Inexpensive Restaurant",One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Apartment (1 bedroom) in City Centre,Average Monthly Net Salary (After Tax)
krakow,Kraków,Poland,"Cobblestone streets lead to vibrant squares filled with the buzz of locals and tourists alike, offering a blend of history and lively culture.",500.619.474,199.368.564,"{""1"":{""avg"":-0.4,""max"":2.9,""min"":-3.5},""2"":{""avg"":1.6,""max"":5.8,""min"":-2},""3"":{""avg"":4.3,""max"":10.2,""min"":-0.9},""4"":{""avg"":9.1,""max"":15,""min"":3.5},""5"":{""avg"":13.9,""max"":19.7,""min"":8.2},""6"":{""avg"":19.1,""max"":25,""min"":13.3},""7"":{""avg"":20,""max"":26,""min"":14.3},""8"":{""avg"":20,""max"":26.2,""min"":14.5},""9"":{""avg"":15.1,""max"":20.7,""min"":10.3},""10"":{""avg"":9.8,""max"":15.3,""min"":5.3},""11"":{""avg"":4.6,""max"":8.3,""min"":1.3},""12"":{""avg"":1.5,""max"":4.5,""min"":-1.5}}","[""Short trip"",""Weekend"",""One week""]",Mid-range,5,2,3,1,4,4,3,4,2,,,,,,,,,,,,,,,
athens,Athens,Greece,"Ancient ruins stand proudly against a backdrop of vibrant street life and bustling markets, where history and modernity create an electrifying blend.",379.755.648,237.348.324,"{""1"":{""avg"":10.6,""max"":14.7,""min"":8},""2"":{""avg"":11.3,""max"":15.4,""min"":8.2},""3"":{""avg"":13.1,""max"":16.7,""min"":9},""4"":{""avg"":17.2,""max"":21.5,""min"":12.8},""5"":{""avg"":21.3,""max"":26.2,""min"":16.9},""6"":{""avg"":26.1,""max"":32,""min"":22.2},""7"":{""avg"":29.5,""max"":35.2,""min"":25.5},""8"":{""avg"":29.2,""max"":34.6,""min"":25},""9"":{""avg"":25.1,""max"":30.2,""min"":21.2},""10"":{""avg"":20.4,""max"":25.2,""min"":17.4},""11"":{""avg"":16.4,""max"":20.4,""min"":13.7},""12"":{""avg"":12.4,""max"":16.3,""min"":10.3}}","[""One week"",""Short trip"",""Weekend""]",Mid-range,5,3,3,3,4,5,3,4,2,City,10 million,"Gyros, Souvlaki, Moussaka",Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","Capital city known for ancient ruins, museums, and vibrant nightlife.",,56.4,10.0,1.4,30.0,3.5,407.57,779.65
san sebastian,San Sebastián,Spain,"Golden beaches meet vibrant pintxo bars and lush green hills, creating a lively yet laid-back atmosphere perfect for unwinding and exploring.",433.224.219,-19.838.889,"{""1"":{""avg"":8.6,""max"":11.4,""min"":6},""2"":{""avg"":9.9,""max"":13,""min"":6.8},""3"":{""avg"":11,""max"":14.2,""min"":7.7},""4"":{""avg"":12.6,""max"":16,""min"":9.3},""5"":{""avg"":14.6,""max"":18.2,""min"":11.4},""6"":{""avg"":17.6,""max"":20.9,""min"":14.7},""7"":{""avg"":19.7,""max"":22.6,""min"":16.7},""8"":{""avg"":19.9,""max"":23.4,""min"":16.9},""9"":{""avg"":18.4,""max"":21.7,""min"":15.1},""10"":{""avg"":16.2,""max"":19.4,""min"":13.1},""11"":{""avg"":12.1,""max"":15,""min"":9.5},""12"":{""avg"":10.8,""max"":13.5,""min"":8.2}}","[""Short trip"",""Weekend"",""One week""]",Mid-range,4,3,3,5,4,5,3,3,2,,,,,,,,,,,,,,,
sarajevo,Sarajevo,Bosnia and Herzegovina,"Cobblestone streets echo with the sound of church bells and the call to prayer, creating a unique blend of cultures and histories.",438.519.774,183.866.868,"{""1"":{""avg"":0.8,""max"":4.6,""min"":-2.7},""2"":{""avg"":4.2,""max"":9.4,""min"":0.1},""3"":{""avg"":6.6,""max"":12.7,""min"":1.8},""4"":{""avg"":11.1,""max"":17.8,""min"":5},""5"":{""avg"":15.3,""max"":22,""min"":9.7},""6"":{""avg"":20,""max"":27,""min"":13.8},""7"":{""avg"":22.4,""max"":29.9,""min"":15.3},""8"":{""avg"":21.8,""max"":29.6,""min"":15.3},""9"":{""avg"":17.2,""max"":24.1,""min"":11.4},""10"":{""avg"":12.4,""max"":17,""min"":6.7},""11"":{""avg"":6.8,""max"":11.2,""min"":3},""12"":{""avg"":2.4,""max"":5.7,""min"":-0.5}}","[""One week"",""Short trip"",""Weekend""]",Budget,4,3,3,1,3,4,3,3,3,,,,,,,,,,,,,,,
tirana,Tirana,Albania,"Vibrant streets filled with eclectic architecture, lively markets, and welcoming locals create an inviting atmosphere that feels both dynamic and laid-back.",413.281.482,198.184.435,"{""1"":{""avg"":7.1,""max"":13.2,""min"":2},""2"":{""avg"":9.2,""max"":15.6,""min"":3.8},""3"":{""avg"":11,""max"":18.5,""min"":5.6},""4"":{""avg"":14.6,""max"":21.5,""min"":8.6},""5"":{""avg"":18.9,""max"":25.3,""min"":13},""6"":{""avg"":23.8,""max"":30.8,""min"":18},""7"":{""avg"":26.6,""max"":34,""min"":20.2},""8"":{""avg"":26.3,""max"":34.4,""min"":19.7},""9"":{""avg"":22,""max"":29.6,""min"":16},""10"":{""avg"":17.4,""max"":24.8,""min"":11.8},""11"":{""avg"":12.9,""max"":19.5,""min"":7.8},""12"":{""avg"":8.5,""max"":15.2,""min"":3.9}}","[""Short trip"",""Weekend""]",Budget,3,3,3,2,3,3,3,3,2,,,,,,,,,,,,,,,
lucca,Lucca,Italy,"Wander through cobblestone streets surrounded by ancient walls, where charming piazzas and the aroma of fresh Italian cuisine fill the air.",44.017.763.900.000.000,10.454.430.026.192.600,"{""1"":{""avg"":-2.1,""max"":0.7,""min"":-3.7},""2"":{""avg"":-1.3,""max"":0.6,""min"":-3.7},""3"":{""avg"":-1.4,""max"":0.9,""min"":-4.1},""4"":{""avg"":1.7,""max"":3.8,""min"":-0.9},""5"":{""avg"":5.3,""max"":7.6,""min"":3.1},""6"":{""avg"":11.3,""max"":13.7,""min"":9.1},""7"":{""avg"":14.1,""max"":17.3,""min"":11.5},""8"":{""avg"":13,""max"":15.6,""min"":10.8},""9"":{""avg"":8.3,""max"":11.2,""min"":7},""10"":{""avg"":5.8,""max"":8.1,""min"":3.9},""11"":{""avg"":1.5,""max"":3.2,""min"":-1},""12"":{""avg"":0.1,""max"":1.6,""min"":-2.2}}","[""Day trip"",""Weekend"",""Short trip""]",Mid-range,4,2,3,2,2,4,3,3,4,,,,,,,,,,,,,,,
barcelona,Barcelona,Spain,"Vibrant streets filled with Gaudí's whimsical architecture, lively tapas bars, and the warm Mediterranean breeze create an inviting and dynamic atmosphere.",413.828.939,21.774.322,"{""1"":{""avg"":8.9,""max"":14.5,""min"":4.6},""2"":{""avg"":10.3,""max"":15.8,""min"":5.9},""3"":{""avg"":12.7,""max"":17,""min"":9},""4"":{""avg"":14.3,""max"":19.1,""min"":10},""5"":{""avg"":18.2,""max"":22.8,""min"":14},""6"":{""avg"":22.9,""max"":27.5,""min"":18.5},""7"":{""avg"":25.8,""max"":30.2,""min"":21.3},""8"":{""avg"":25.7,""max"":30.4,""min"":21.5},""9"":{""avg"":22,""max"":26.6,""min"":17.7},""10"":{""avg"":18.2,""max"":23,""min"":14.2},""11"":{""avg"":13.2,""max"":18.3,""min"":9.2},""12"":{""avg"":10.1,""max"":15.6,""min"":6.1}}","[""Short trip"",""One week""]",Mid-range,5,3,3,4,5,5,3,5,2,City,12.7 million,"Paella, Tapas, Gazpacho",Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","Known for its Gaudi architecture, beautiful beaches, and vibrant nightlife.","A city of stunning architecture, art, and vibrant culture. Famous for La Sagrada Familia and Park Gell.",58.76,12.0,2.2,44.0,3.0,963.57,1442.04
skopje,Skopje,North Macedonia,"Wandering through eclectic streets, you'll encounter a blend of ancient history and modern quirks, with vibrant markets and grand statues at every turn.",419.961.816,214.319.213,"{""1"":{""avg"":1.5,""max"":6.5,""min"":-1.1},""2"":{""avg"":5.5,""max"":11.6,""min"":0.5},""3"":{""avg"":8.6,""max"":14.4,""min"":3.2},""4"":{""avg"":13.3,""max"":19.4,""min"":6.8},""5"":{""avg"":17.7,""max"":24.2,""min"":11.2},""6"":{""avg"":23,""max"":30.1,""min"":16.4},""7"":{""avg"":25.4,""max"":33,""min"":18.5},""8"":{""avg"":25.4,""max"":33.4,""min"":17.8},""9"":{""avg"":20,""max"":27.5,""min"":13.6},""10"":{""avg"":14.3,""max"":21.8,""min"":8.8},""11"":{""avg"":8.3,""max"":13.9,""min"":4.5},""12"":{""avg"":3.6,""max"":7.9,""min"":0.7}}","[""Weekend"",""Short trip""]",Budget,4,3,3,1,3,3,2,3,3,,,,,,,,,,,,,,,
dubrovnik,Dubrovnik,Croatia,"Wander through ancient stone streets, bask in the Adriatic sun, and feel the blend of history and sea breeze at every corner.",426.491.029,180.939.501,"{""1"":{""avg"":8.9,""max"":12.3,""min"":4.8},""2"":{""avg"":9.8,""max"":13.7,""min"":5.4},""3"":{""avg"":11.8,""max"":15.3,""min"":7.9},""4"":{""avg"":14.1,""max"":17.7,""min"":9.7},""5"":{""avg"":18.7,""max"":22.1,""min"":14.2},""6"":{""avg"":23.9,""max"":27.5,""min"":19},""7"":{""avg"":26.3,""max"":29.8,""min"":21.7},""8"":{""avg"":26.9,""max"":30.4,""min"":22.6},""9"":{""avg"":22.6,""max"":26.2,""min"":18.4},""10"":{""avg"":18,""max"":21.9,""min"":13.7},""11"":{""avg"":14.3,""max"":17.9,""min"":10},""12"":{""avg"":10.4,""max"":13.6,""min"":6.8}}","[""Weekend"",""Short trip"",""Day trip""]",Mid-range,5,3,4,4,3,4,3,3,2,,,,,,,,,,,,,,,
bergen,Bergen,Norway,"Charming waterfront views, colorful wooden houses, and the fresh scent of sea air make this coastal city feel both cozy and invigorating.",603.943.055,53.259.192,"{""1"":{""avg"":2.5,""max"":4.7,""min"":0.4},""2"":{""avg"":3,""max"":5.7,""min"":0.7},""3"":{""avg"":4.3,""max"":7.7,""min"":1.8},""4"":{""avg"":7.1,""max"":11.5,""min"":3.4},""5"":{""avg"":11.4,""max"":15.9,""min"":7.6},""6"":{""avg"":14.5,""max"":19,""min"":11},""7"":{""avg"":15.4,""max"":19.6,""min"":12.2},""8"":{""avg"":15.3,""max"":19.4,""min"":12.4},""9"":{""avg"":13.4,""max"":17.1,""min"":10.4},""10"":{""avg"":9.1,""max"":12.4,""min"":6.6},""11"":{""avg"":5.6,""max"":8.1,""min"":3.5},""12"":{""avg"":4,""max"":6.1,""min"":1.7}}","[""Weekend"",""One week"",""Short trip""]",Luxury,4,4,5,2,3,3,3,3,4,City,1.5 million,"Fish, Reindeer, Brunost",Spring (May-June) or Fall (Sept-Oct),Medium-high,Generally safe,"Coastal city known for colorful houses, fish market, and scenic fjords.","A coastal city known for its colorful wooden houses, fish market, and scenic fjords.",,,,,,,
marseille,Marseille,France,"A lively port city with Mediterranean flair, bustling markets, and a mix of historic charm and modern vibrancy, offering endless exploration.",432.961.743,53.699.525,"{""1"":{""avg"":7.7,""max"":12.3,""min"":3.6},""2"":{""avg"":9.3,""max"":14.2,""min"":4.9},""3"":{""avg"":11.5,""max"":16.8,""min"":6.6},""4"":{""avg"":14.4,""max"":19.8,""min"":9.2},""5"":{""avg"":18.5,""max"":23.9,""min"":13.3},""6"":{""avg"":23.6,""max"":29.2,""min"":18.2},""7"":{""avg"":26.3,""max"":32.3,""min"":20.7},""8"":{""avg"":25.5,""max"":31.5,""min"":19.8},""9"":{""avg"":21.4,""max"":26.9,""min"":16.5},""10"":{""avg"":17.2,""max"":22.3,""min"":12.8},""11"":{""avg"":12,""max"":16.5,""min"":8.1},""12"":{""avg"":8.8,""max"":13.5,""min"":4.8}}","[""Short trip"",""Weekend"",""One week""]",Mid-range,4,3,3,3,4,4,3,4,2,Coastal City,3.5 million,"Bouillabaisse, Aoli, Panisse",Spring (April-May) or Fall (Sept-Oct),Medium,"Generally safe, but be aware of pickpockets","The second-largest city in France, known for its historical Old Port, MuCEM museum, and Calanques park.","A city rich in history and culture, with a vibrant port and stunning coastal landscapes.",71.97,13.5,1.8,48.5,7.0,586.92,1552.78
sofia,Sofia,Bulgaria,"Charming streets lined with eclectic architecture and vibrant markets invite you to immerse in a blend of history, culture, and modern energy.",426.977.028,233.217.359,"{""1"":{""avg"":-0.2,""max"":4.6,""min"":-4.2},""2"":{""avg"":3.3,""max"":9.3,""min"":-1.5},""3"":{""avg"":6.1,""max"":11.6,""min"":0.6},""4"":{""avg"":11.2,""max"":18,""min"":4.9},""5"":{""avg"":15.5,""max"":21,""min"":9.5},""6"":{""avg"":19.9,""max"":26.3,""min"":13.7},""7"":{""avg"":22.5,""max"":29.7,""min"":15.3},""8"":{""avg"":22.4,""max"":29.6,""min"":15},""9"":{""avg"":17.8,""max"":24.8,""min"":11.1},""10"":{""avg"":11.8,""max"":18.8,""min"":5.8},""11"":{""avg"":6.6,""max"":12,""min"":2},""12"":{""avg"":2.1,""max"":6.5,""min"":-1.6}}","[""Short trip"",""Weekend"",""One week""]",Budget,4,3,3,1,3,4,3,3,2,,,,,,,,,,,,,,,
san marino,San Marino,San Marino,"Perched atop rolling hills, this charming enclave offers medieval towers, cobblestone streets, and sweeping vistas, inviting a leisurely exploration of its storied past.",439.458.623,12.458.306,"{""1"":{""avg"":5.5,""max"":9.7,""min"":1.1},""2"":{""avg"":7.3,""max"":11.5,""min"":2.7},""3"":{""avg"":9.6,""max"":14.2,""min"":3.4},""4"":{""avg"":13.2,""max"":17.8,""min"":7.5},""5"":{""avg"":17.8,""max"":22,""min"":12.6},""6"":{""avg"":23,""max"":27.4,""min"":17.2},""7"":{""avg"":25.6,""max"":29.6,""min"":19.6},""8"":{""avg"":25,""max"":29.3,""min"":19.4},""9"":{""avg"":20.7,""max"":25.2,""min"":15.8},""10"":{""avg"":16.2,""max"":20.1,""min"":11.6},""11"":{""avg"":10.8,""max"":14.3,""min"":6.6},""12"":{""avg"":6.4,""max"":10.3,""min"":2.3}}","[""Day trip"",""Weekend""]",Mid-range,4,2,3,1,2,3,2,3,4,,,,,,,,,,,,,,,
berlin,Berlin,Germany,"Eclectic streets filled with history, art, and a dynamic cultural scene create an atmosphere that's both invigorating and deeply engaging.",52.510.885,133.989.367,"{""1"":{""avg"":2.3,""max"":4.3,""min"":0.3},""2"":{""avg"":3.4,""max"":6.4,""min"":0.6},""3"":{""avg"":6.1,""max"":10.3,""min"":2},""4"":{""avg"":9.8,""max"":14.5,""min"":5.1},""5"":{""avg"":14.7,""max"":19.5,""min"":9.4},""6"":{""avg"":19.5,""max"":24.7,""min"":14},""7"":{""avg"":19.9,""max"":24.7,""min"":15},""8"":{""avg"":20.2,""max"":25.3,""min"":15.3},""9"":{""avg"":15.8,""max"":20.8,""min"":11.4},""10"":{""avg"":10.9,""max"":14.5,""min"":7.8},""11"":{""avg"":6.1,""max"":8.5,""min"":3.8},""12"":{""avg"":3.9,""max"":5.7,""min"":2}}","[""Short trip"",""Weekend"",""One week""]",Mid-range,5,3,2,1,5,4,3,5,2,City,13.5 million,"Currywurst, Bratwurst, Sauerkraut",Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch for pickpockets","The capital city known for its historical landmarks, vibrant nightlife, and arts scene.","Famous for the Brandenburg Gate, Berlin Wall, and rich cultural heritage.",63.28,9.0,2.85,81.0,3.9,925.85,2494.92
